component,action,threshold,time
stable_motor,inspect,0.85,1484.9498327759197
stable_motor,maintain,0.75,2327.759197324415
stable_motor,replace,0.6,3612.0401337792646
wearing_pump,inspect,0.9,1806.0200668896323
wearing_pump,maintain,0.85,2127.0903010033444
wearing_pump,replace,0.7,2849.4983277591973
fragile_sensor,inspect,0.95,120.40133779264215
fragile_sensor,maintain,0.9,280.9364548494983
fragile_sensor,replace,0.8,602.0066889632108
heavy_valve,inspect,0.9,1966.5551839464883
heavy_valve,maintain,0.85,2488.294314381271
heavy_valve,replace,0.7,3852.842809364549
aging_bearing,inspect,0.95,1364.5484949832776
aging_bearing,maintain,0.9,1725.752508361204
aging_bearing,replace,0.8,2207.3578595317726
balanced_fan,inspect,0.85,1765.8862876254182
balanced_fan,maintain,0.75,2608.695652173913
balanced_fan,replace,0.6,3772.5752508361206
