component,action,threshold,time
stable_motor,inspect,0.85,441.47157190635454
stable_motor,maintain,0.75,762.5418060200669
stable_motor,replace,0.6,1364.5484949832776
wearing_pump,inspect,0.9,160.5351170568562
wearing_pump,maintain,0.85,240.8026755852843
wearing_pump,replace,0.7,481.6053511705686
fragile_sensor,inspect,0.95,80.2675585284281
fragile_sensor,maintain,0.9,120.40133779264215
fragile_sensor,replace,0.8,240.8026755852843
heavy_valve,inspect,0.9,280.9364548494983
heavy_valve,maintain,0.85,401.33779264214047
heavy_valve,replace,0.7,882.9431438127091
aging_bearing,inspect,0.95,80.2675585284281
aging_bearing,maintain,0.9,120.40133779264215
aging_bearing,replace,0.8,200.66889632107024
balanced_fan,inspect,0.85,361.20401337792646
balanced_fan,maintain,0.75,602.0066889632108
balanced_fan,replace,0.6,1043.4782608695652
